name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"13.29,100.91",2025-09-01T00:00:00,27,31.1,25.8,92.87,0,0,,0,0,20.9,9.2,138,1006.5,30,9.8,0,0,0,,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T01:00:00,27.3,31.4,25.2,88.36,0,0,,0,0,23,9.7,172,1006,30,9.8,0,0,0,,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T02:00:00,26.8,30.1,25.2,91.25,2.1,100,rain,0,0,13.3,8.5,28,1005.2,30,9.8,0,0,0,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T03:00:00,26.8,29.9,24.7,88.31,2,100,rain,0,0,14.4,6.5,57,1005,30,10,0,0,0,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T04:00:00,26.8,30.1,25.2,91.25,0.4,100,rain,0,0,12.6,4.9,121,1005,38.7,10,0,0,0,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T05:00:00,26.8,30.1,25.2,91.25,0.7,100,rain,0,0,14,6.1,119,1005,38.7,10,0,0,0,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T06:00:00,25.9,25.9,25.8,98.83,0.8,100,rain,0,0,13.3,6.6,89,1006,25,10,2,0,0,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T07:00:00,26.8,30.4,25.8,94.26,0.5,100,rain,0,0,13.7,4.6,87,1006,25,10,72,0.3,1,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T08:00:00,27.5,31.7,25.2,87.54,0.5,100,rain,0,0,16.6,9,173,1007,38.7,10,189,0.7,2,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T09:00:00,28.9,35.2,25.8,83.1,0.3,100,rain,0,0,21.6,8.1,192,1007.2,25,10,684,2.5,7,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T10:00:00,30.4,36.4,24.7,71.45,0.3,100,rain,0,0,23,7.8,210,1007,38.7,10,1060,3.8,10,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T11:00:00,31.4,37.6,24.5,66.69,0.3,100,rain,0,0,25.9,9.7,219,1007,38.7,10,478,1.7,5,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T12:00:00,32.1,37.8,23.7,61.13,2.3,100,rain,0,0,32.8,9.7,305,1006,38.7,10,156,0.6,2,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T13:00:00,32.7,38.5,23.7,59.27,1.5,100,rain,0,0,33.8,7.9,240,1005.3,38.7,10,858,3.1,9,,"Rain, Partially cloudy",rain,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T14:00:00,32.9,39.1,24,59.51,0,0,,0,0,23.4,16.6,210,1004,43.6,10,177,0.6,2,,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T15:00:00,32.3,37.8,23.5,59.73,0,0,,0,0,26.3,15.3,192,1003.3,43.6,10,269,1,3,,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T16:00:00,31.7,37,23.6,62.14,0,0,,0,0,25.9,17.2,170,1003,30,10,103,0.4,1,,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T17:00:00,31.4,36.4,23.4,62.3,0,0,,0,0,25.6,15.8,178,1002.8,25,10,121,0.4,1,,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T18:00:00,30.6,35.9,23.9,67.4,0,0,,0,0,20.9,13.9,164,1003.3,25,10,20,0.1,0,,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T19:00:00,29.9,34.4,23.4,68.29,0,0,,0,0,16.9,14.6,176,1004.3,25,10,0,0,0,,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T20:00:00,29.7,35.2,24.5,73.78,0,0,,0,0,12.6,15.7,183,1005.3,25,10,0,0,0,,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,VTBU"
"13.29,100.91",2025-09-01T21:00:00,29.7,35.4,24.7,74.66,0,0,,0,0,12.6,20.7,189,1006.3,51.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,VTBU"
